candidate_name,district,constituency,party,votes_total,vote_share_pct,position,gender,age,assets,liabilities,criminal_cases
,,Thiruvottiyur,,,,17,,,,,
,,Thiruvottiyur,,,,14,,,,,
,,Thiruvottiyur,,,,19,,,,,
,,Thiruvottiyur,,,,7,,,,,
,,Thiruvottiyur,,,,8,,,,,
,,Thiruvottiyur,,,,20,,,,,
,,Thiruvottiyur,,,,12,,,,,
,,Thiruvottiyur,,,,18,,,,,
,,Thiruvottiyur,,,,6,,,,,
,,Dr.Radhakrishnan Nagar,,,,1,,,,,
,,Dr.Radhakrishnan Nagar,,,,2,,,,,
,,Dr.Radhakrishnan Nagar,,,,8,,,,,
,,Dr.Radhakrishnan Nagar,,,,14,,,,,
,,Dr.Radhakrishnan Nagar,,,,5,,,,,
,,Dr.Radhakrishnan Nagar,,,,3,,,,,
,,Dr.Radhakrishnan Nagar,,,,11,,,,,
,,Dr.Radhakrishnan Nagar,,,,4,,,,,
,,Dr.Radhakrishnan Nagar,,,,12,,,,,
,,Dr.Radhakrishnan Nagar,,,,17,,,,,
,,Dr.Radhakrishnan Nagar,,,,29,,,,,
,,Dr.Radhakrishnan Nagar,,,,31,,,,,
,,Dr.Radhakrishnan Nagar,,,,13,,,,,
,,Dr.Radhakrishnan Nagar,,,,18,,,,,
,,Dr.Radhakrishnan Nagar,,,,15,,,,,
,,Dr.Radhakrishnan Nagar,,,,9,,,,,
,,Dr.Radhakrishnan Nagar,,,,7,,,,,
,,Dr.Radhakrishnan Nagar,,,,10,,,,,
,,Dr.Radhakrishnan Nagar,,,,21,,,,,
,,Dr.Radhakrishnan Nagar,,,,20,,,,,
,,Dr.Radhakrishnan Nagar,,,,23,,,,,
,,Dr.Radhakrishnan Nagar,,,,16,,,,,
,,Dr.Radhakrishnan Nagar,,,,24,,,,,
,,Dr.Radhakrishnan Nagar,,,,25,,,,,
,,Dr.Radhakrishnan Nagar,,,,32,,,,,
,,Dr.Radhakrishnan Nagar,,,,26,,,,,
,,Dr.Radhakrishnan Nagar,,,,22,,,,,
,,Dr.Radhakrishnan Nagar,,,,27,,,,,
,,Dr.Radhakrishnan Nagar,,,,30,,,,,
,,Dr.Radhakrishnan Nagar,,,,28,,,,,
,,Dr.Radhakrishnan Nagar,,,,19,,,,,
,,Dr.Radhakrishnan Nagar,,,,6,,,,,
,,Perambur,,,,7,,,,,
,,Perambur,,,,1,,,,,
,,Perambur,,,,2,,,,,
,,Perambur,,,,8,,,,,
,,Perambur,,,,9,,,,,
,,Perambur,,,,4,,,,,
,,Perambur,,,,3,,,,,
,,Perambur,,,,5,,,,,
,,Perambur,,,,19,,,,,
,,Perambur,,,,20,,,,,
,,Perambur,,,,15,,,,,
,,Perambur,,,,10,,,,,
,,Perambur,,,,18,,,,,
,,Perambur,,,,17,,,,,
,,Perambur,,,,12,,,,,
,,Perambur,,,,11,,,,,
,,Perambur,,,,14,,,,,
,,Perambur,,,,13,,,,,
,,Perambur,,,,16,,,,,
,,Perambur,,,,23,,,,,
,,Perambur,,,,22,,,,,
,,Perambur,,,,21,,,,,
,,Perambur,,,,6,,,,,
,,Kolathur,,,,2,,,,,
,,Kolathur,,,,6,,,,,
,,Kolathur,,,,1,,,,,
,,Kolathur,,,,10,,,,,
,,Kolathur,,,,7,,,,,
,,Kolathur,,,,21,,,,,
,,Kolathur,,,,4,,,,,
,,Kolathur,,,,27,,,,,
